Date : 2025-06-15 11:51:05
Directory : /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform
Total : 138 files,  15603 codes, 2203 comments, 4037 blanks, all 21843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/adr/Approved-20250603-01-寄付フローとトークン発行システムについて.md      | Markdown           |         84 |          0 |         32 |        116 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/adr/Approved-20250604-01-XamanWebSocket待機処理について.md    | Markdown           |         67 |          0 |         33 |        100 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/adr/Approved-20250606-02-寄付フローにおけるウォレット連携要件の見直し.md    | Markdown           |         60 |          0 |         31 |         91 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/adr/Approved-20250613-01-寄付統計データの事前集計による最適化について.md    | Markdown           |         78 |          0 |         38 |        116 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/adr/Proposed-20250606-01-プライベートリポジトリ化対応について.md        | Markdown           |         66 |          0 |         32 |         98 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/adr/Proposed-20250611-01-寄付履歴におけるRLUSD換算方式の改善について.md  | Markdown           |        102 |          0 |         54 |        156 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/adr/Template.md                                       | Markdown           |         30 |          0 |         20 |         50 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/firestore-indexes.md                                  | Markdown           |        312 |          0 |        117 |        429 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/pricing-algorithm-implementation.md                   | Markdown           |        194 |          0 |         64 |        258 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/eslint.config.js                                           | JavaScript         |         22 |          4 |          2 |         28 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/firebase.json                                              | JSON               |          6 |          0 |          1 |          7 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/firestore.indexes.json                                     | JSON               |        221 |          0 |          1 |        222 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/index.ts                                                   | TypeScript         |         30 |          3 |          9 |         42 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/next-env.d.ts                                              | TypeScript         |          0 |          4 |          2 |          6 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/next.config.js                                             | JavaScript         |          3 |          2 |          2 |          7 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/package.json                                               | JSON               |         83 |          0 |          1 |         84 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/playwright.config.ts                                       | TypeScript         |         34 |         31 |          9 |         74 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/postcss.config.js                                          | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/scripts/reset-auth.ts                                      | TypeScript         |         40 |          9 |         17 |         66 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/scripts/reset-confirm.ts                                   | TypeScript         |         75 |          9 |         17 |        101 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/scripts/setup-pricing-data.ts                              | TypeScript         |        124 |         14 |         13 |        151 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/donor/stats/route.ts                           | TypeScript         |        105 |         22 |         22 |        149 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/github/app/route.ts                            | TypeScript         |         32 |          1 |          4 |         37 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/github/installations/callback/route.ts         | TypeScript         |         88 |          9 |         13 |        110 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/github/installations/route.ts                  | TypeScript         |         45 |         81 |          8 |        134 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/github/repositories/route.ts                   | TypeScript         |         50 |          4 |          9 |         63 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/maintainer/stats/route.ts                      | TypeScript         |         85 |         17 |         20 |        122 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/management/projects/[id]/route.ts              | TypeScript         |        137 |         58 |         33 |        228 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/management/projects/route.ts                   | TypeScript         |         74 |         10 |         19 |        103 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/projects/[id]/route.ts                         | TypeScript         |         22 |          5 |          9 |         36 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/projects/route.ts                              | TypeScript         |         30 |          6 |          8 |         44 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/xaman/callback/route.ts                        | TypeScript         |        150 |         31 |         27 |        208 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/xaman/donations/[requestId]/route.ts           | TypeScript         |         33 |          6 |         10 |         49 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/xaman/donations/create/route.ts                | TypeScript         |         47 |          6 |         10 |         63 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/xaman/wallets/link-status/route.ts             | TypeScript         |         75 |         12 |         17 |        104 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/api/xaman/wallets/route.ts                         | TypeScript         |         50 |         12 |         15 |         77 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/donor/layout.tsx                                   | TypeScript JSX     |         13 |          0 |          2 |         15 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/donor/page.tsx                                     | TypeScript JSX     |        281 |          9 |         14 |        304 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/donor/projects/[id]/page.tsx                       | TypeScript JSX     |        417 |         25 |         38 |        480 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/donor/projects/page.tsx                            | TypeScript JSX     |        230 |         13 |         20 |        263 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/globals.css                                        | PostCSS            |          5 |          1 |          2 |          8 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/layout.tsx                                         | TypeScript JSX     |         22 |          0 |          4 |         26 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/maintainer/layout.tsx                              | TypeScript JSX     |         13 |          0 |          2 |         15 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/maintainer/page.tsx                                | TypeScript JSX     |        250 |          8 |         17 |        275 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/maintainer/projects/[id]/edit/page.tsx             | TypeScript JSX     |        109 |          2 |         15 |        126 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/maintainer/projects/[id]/page.tsx                  | TypeScript JSX     |        297 |          7 |         25 |        329 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/maintainer/projects/new/page.tsx                   | TypeScript JSX     |         86 |          5 |         12 |        103 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/maintainer/projects/page.tsx                       | TypeScript JSX     |        227 |          4 |         22 |        253 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/mode-select/page.tsx                               | TypeScript JSX     |        296 |          8 |         20 |        324 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/page.tsx                                           | TypeScript JSX     |        266 |         12 |         17 |        295 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/app/wallet-required/page.tsx                           | TypeScript JSX     |        247 |         13 |         22 |        282 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/components/AuthGuard.tsx                               | TypeScript JSX     |         30 |          3 |          8 |         41 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/components/DonationQRModal.tsx                         | TypeScript JSX     |        233 |         28 |         25 |        286 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/components/GitHubAppSetup.tsx                          | TypeScript JSX     |        225 |          5 |         20 |        250 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/components/Header.tsx                                  | TypeScript JSX     |        126 |          8 |         11 |        145 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/components/ModeSelector.tsx                            | TypeScript JSX     |        163 |          4 |         12 |        179 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/components/ToastManager.tsx                            | TypeScript JSX     |         31 |          5 |          5 |         41 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/components/WalletLinkQRModal.tsx                       | TypeScript JSX     |        205 |         17 |         22 |        244 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/components/WalletStatus.tsx                            | TypeScript JSX     |        122 |          4 |         14 |        140 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/components/forms/ProjectEditForm.tsx                   | TypeScript JSX     |        274 |         18 |         29 |        321 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/components/forms/ProjectRegistrationForm.tsx           | TypeScript JSX     |        567 |         39 |         51 |        657 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/hooks/useDonation.ts                                   | TypeScript         |        123 |          3 |         18 |        144 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/hooks/useGitHubApp.ts                                  | TypeScript         |         84 |          6 |         14 |        104 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/hooks/useStats.ts                                      | TypeScript         |        135 |          9 |         28 |        172 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/hooks/useToastFromCookie.ts                            | TypeScript         |         21 |          7 |          7 |         35 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/hooks/useWallet.ts                                     | TypeScript         |        173 |         26 |         15 |        214 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/hooks/useXamanWebSocket.ts                             | TypeScript         |         90 |          2 |         19 |        111 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/firebase/admin.ts                                  | TypeScript         |         48 |         16 |         10 |         74 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/firebase/auth-context.tsx                          | TypeScript JSX     |        185 |         18 |         29 |        232 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/firebase/client.ts                                 | TypeScript         |          7 |          5 |          4 |         16 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/firebase/collections.ts                            | TypeScript         |         39 |        121 |          7 |        167 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/firebase/config.ts                                 | TypeScript         |          9 |          4 |          2 |         15 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/firebase/utils.ts                                  | TypeScript         |         75 |         32 |         13 |        120 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/github/app.ts                                      | TypeScript         |        133 |         12 |         24 |        169 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/github/installation.ts                             | TypeScript         |         65 |          9 |         15 |         89 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/pricing/calculator.ts                              | TypeScript         |         67 |         23 |         18 |        108 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/pricing/normalizer.ts                              | TypeScript         |        123 |        122 |         33 |        278 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/pricing/quality-metrics.ts                         | TypeScript         |        186 |         33 |         40 |        259 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/pricing/rate-converter.ts                          | TypeScript         |         74 |         36 |         26 |        136 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/theme-context.tsx                                  | TypeScript JSX     |         25 |          4 |          8 |         37 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/toast-utils.ts                                     | TypeScript         |         65 |         23 |         17 |        105 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/xaman/admin.ts                                     | TypeScript         |         14 |          7 |          5 |         26 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/xaman/health.ts                                    | TypeScript         |         49 |         12 |         11 |         72 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/xaman/index.ts                                     | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/xaman/signature-verification.ts                    | TypeScript         |         26 |         22 |          8 |         56 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/xrpl/check-utils.ts                                | TypeScript         |         42 |         38 |         15 |         95 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/xrpl/client.ts                                     | TypeScript         |        189 |         57 |         49 |        295 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/xrpl/config.ts                                     | TypeScript         |        152 |         43 |         38 |        233 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/xrpl/index.ts                                      | TypeScript         |         10 |          3 |          2 |         15 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/lib/xrpl/token-utils.ts                                | TypeScript         |         79 |         52 |         21 |        152 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/services/DonationService.ts                            | TypeScript         |         96 |         68 |         26 |        190 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/services/PricingService.ts                             | TypeScript         |        196 |         45 |         35 |        276 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/services/ProjectService.ts                             | TypeScript         |        306 |        101 |         58 |        465 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/services/QualityScoreService.ts                        | TypeScript         |        231 |         43 |         45 |        319 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/services/WalletLinkService.ts                          | TypeScript         |        168 |         52 |         35 |        255 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/services/donation/DonationHistoryManager.ts            | TypeScript         |        109 |         38 |         27 |        174 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/services/donation/DonationManager.ts                   | TypeScript         |        247 |         48 |         42 |        337 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/services/donation/TokenManager.ts                      | TypeScript         |        214 |         51 |         45 |        310 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/services/shared/BaseService.ts                         | TypeScript         |        330 |         80 |         66 |        476 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/services/shared/ServiceError.ts                        | TypeScript         |         16 |          3 |          1 |         20 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/types/donation.ts                                      | TypeScript         |         54 |         27 |          9 |         90 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/types/github.ts                                        | TypeScript         |         33 |          3 |          4 |         40 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/types/pricing.ts                                       | TypeScript         |         62 |         33 |         11 |        106 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/types/project.ts                                       | TypeScript         |         44 |         15 |          8 |         67 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/types/stats.ts                                         | TypeScript         |         31 |          9 |          7 |         47 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/types/toast.ts                                         | TypeScript         |         11 |          3 |          4 |         18 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/types/user.ts                                          | TypeScript         |         42 |          3 |          6 |         51 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/types/xaman.ts                                         | TypeScript         |         37 |         18 |          6 |         61 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/validations/donation.ts                                | TypeScript         |         23 |         12 |          8 |         43 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/validations/index.ts                                   | TypeScript         |          4 |          7 |          5 |         16 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/validations/project.ts                                 | TypeScript         |         73 |         30 |         16 |        119 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/validations/xaman.ts                                   | TypeScript         |         11 |         10 |          7 |         28 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/src/validations/xrpl.ts                                    | TypeScript         |          7 |          3 |          3 |         13 |
